genero,archivo,ax_mean,ax_std,ax_min,ax_max,ax_rms,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_rms,ay_energy,az_mean,az_std,az_min,az_max,az_rms,az_energy,magnitud_mean,magnitud_std,magnitud_min,magnitud_max,magnitud_rms,magnitud_energy
merengue,merengue_segmento_019.csv,-2.752519718309859,8.171556212771497,-20.5494,14.1162,8.622684949490443,74.35069573816901,7.9915084507042256,1.793232227386357,3.1508,11.7005,8.190231323901303,67.0798891390141,-4.313612676056338,3.74864048276095,-13.7643,1.5969,5.714854310306447,32.659559788028176,12.48956194539067,4.254525482055605,4.556581973365562,22.949232335962787,13.19432244055038,174.0901446652113
merengue,merengue_segmento_020.csv,-2.3652394366197185,9.15149915925391,-20.5494,22.5318,9.45221108811934,89.34429445436619,7.646474647887323,2.0616095852252143,2.3918,11.7005,7.919520731879933,62.718808622676065,-4.117252112676056,3.2182173787020734,-11.4563,1.5969,5.225771527335987,27.3086880559155,12.371558604365655,5.129944330273374,4.556581973365562,26.102994122130895,13.392975439869877,179.37179113295772
merengue,merengue_segmento_021.csv,-2.492905633802817,10.21475439596212,-25.5749,22.5318,10.51455114918717,110.55578586887324,6.251998591549296,3.145543536161173,-2.0446,11.2791,6.998709204319016,48.98193052661971,-3.4749943661971834,4.14348281470346,-10.2999,9.5792,5.407775483583344,29.24403568084507,12.505510649589079,5.691568805641566,4.845842829684017,26.591311115851358,13.739787191814074,188.78175207633805
merengue,merengue_segmento_022.csv,-3.2789760563380286,9.069727921745896,-25.5749,11.9279,9.644254691397112,93.01164855253522,6.313540845070422,3.135091523006538,-2.0446,11.1091,7.049084824287476,49.68959686,-3.853042253521127,4.22292365643446,-10.2089,9.5792,5.716556552286782,32.679018815492945,12.32915436331118,4.834482072949809,5.11899480953048,26.591311115851358,13.243121392935587,175.38026422802818
merengue,merengue_segmento_023.csv,-3.3649527777777783,7.849718024906872,-21.4856,12.4834,8.540549178315304,72.94098026722223,7.618851388888889,2.1059899840160328,3.3926,11.5927,7.904561360300141,62.48209029875001,-4.290343055555557,2.878872466677921,-11.4706,1.5443,5.166715611851498,26.69495021375,12.008691281246975,4.231944528396508,5.7578983023321975,23.50159302366544,12.73255751134556,162.11802077972223
merengue,merengue_segmento_024.csv,-3.1933253521126757,8.80462007563408,-23.116,14.6932,9.365824121811396,87.71866148070423,7.630459154929576,2.110734936994026,3.0789,11.5927,7.917013887148094,62.67910888929578,-3.5195816901408445,2.838497690249558,-11.4706,1.98,4.521562164907916,20.44452441112676,12.193443899704684,4.707676777974603,4.422078640187214,25.7625260442372,13.070665429928454,170.84229478112675
merengue,merengue_segmento_025.csv,-3.6719943661971834,9.673261514555593,-24.4663,14.6932,10.346764274610985,107.05553095436619,7.490009859154928,2.0881687867640086,2.3415,10.9559,7.775647662558632,60.460696572253525,-3.837205633802817,2.880144004365711,-10.8098,1.98,4.797851244252142,23.01937656197183,12.647659055300105,5.52922458482895,4.422078640187214,27.782005886364647,13.803463481626324,190.53560408859153
merengue,merengue_segmento_026.csv,-4.12952676056338,9.847229532765752,-24.4663,12.9957,10.67805791036849,114.0209207371831,7.354957746478871,2.1366538995975333,2.3415,12.1123,7.659026918555315,58.66069333915493,-4.595759154929579,3.1548175387330843,-13.0005,0.7111,5.574394667837657,31.0738759128169,13.058278907284723,5.765140238425936,4.780377467313643,27.782005886364647,14.274294728257328,203.7554899891549
merengue,merengue_segmento_027.csv,-3.7374183098591547,9.468935685530186,-22.6468,11.5017,10.179834902373292,103.62903863957746,7.2317352112676065,2.1759274170461484,2.8108,12.4163,7.551996708827463,57.03265429014084,-4.137414084507042,3.191363135233656,-13.0005,0.8715,5.225226690547084,27.30299396760563,12.70415086060636,5.154535653992376,5.6764847194368455,24.50616732212526,13.710021403970309,187.964686897324
merengue,merengue_segmento_028.csv,-3.3943472222222217,8.790442144532957,-23.365,11.5017,9.42302850263061,88.79346616138888,7.363836111111112,2.233578947147477,3.0885,12.4163,7.695125547022897,59.214957184444444,-3.692656944444445,3.2178296917257407,-12.2128,2.6169,4.897973380318186,23.990143234305556,12.176661515906734,4.871086214303213,5.6764847194368455,25.803723723524865,13.114822399870267,171.99856658013888
electronica,electronica_segmento_001.csv,-1.2148597222222222,0.09594857803897155,-1.8387,-1.008,1.218642800128715,1.4850902743055556,0.029965277777777775,0.05540300623542769,-0.1628,0.1867,0.06298738740591026,0.003967410972222222,9.922233333333331,0.05332813516334501,9.7276,10.0533,9.922376641264487,98.4535582111111,9.996964603054797,0.057572751005377336,9.802737995070562,10.185533849042965,9.997130383084382,99.94261589638889
electronica,electronica_segmento_002.csv,-0.9629718309859154,1.1971424341561079,-4.7094,2.6983,1.536380406972693,2.360464754929578,-0.015883098591549308,1.9007383748358158,-4.6064,6.0908,1.9008047354724174,3.6130586423943662,9.835074647887323,1.6984055262956594,4.3886,13.5895,9.980645002266517,99.6132746612676,10.173496423429004,1.4445651875456627,5.651820408505564,14.207399816292916,10.27554368676381,105.58679805859157
electronica,electronica_segmento_003.csv,-1.689661971830986,3.4723352593525,-10.2041,5.8754,3.8616149124937835,14.91206973239437,3.021111267605634,5.2655678692070005,-4.6064,15.0021,6.070693393384225,36.85331827647888,8.448463380281687,3.296084548571995,-0.261,13.5895,9.068666210600972,82.24070683929578,10.905663212046464,3.882345264603011,2.9024041017749407,19.02902560353525,11.576100157141395,134.00609484816903
electronica,electronica_segmento_004.csv,-4.394091666666666,6.620353357633605,-14.9662,9.651,7.945886996113146,63.137120155,6.582133333333333,5.298760920750981,-2.4373,15.0021,8.449931746058992,71.40134651305556,6.401830555555555,3.823514771255736,-4.1659,13.4363,7.456721777567911,55.60269966805556,12.645277931612998,5.498919200022164,1.4055053326117266,21.238499615556652,13.789168442517159,190.1411663361111
electronica,electronica_segmento_005.csv,-5.276284507042254,8.038458057971066,-16.678,9.651,9.615403587422323,92.45598614901408,6.895504225352111,4.794760855010676,-1.7837,15.263,8.398673120117936,70.53771017859155,4.477291549295775,3.7402012250132426,-5.5138,12.888,5.833973330500056,34.035244820985916,12.731720413098119,5.910349944909544,1.4055053326117266,21.67265734929614,14.036699795485815,197.0289411485915
